material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Paper and cardboard,Thin Card Packaging,2,recycling bin,recycling bin,urban ££,0.33421052631578946
Paper and cardboard,Thin Card Packaging,2,recycling bin,recycling bin,urban £££,0.33
Paper and cardboard,Thin Card Packaging,2,recycling bin,recycling bin,rural £/££,0.22244897959183674
Paper and cardboard,Thin Card Packaging,2,recycling bin,recycling bin,rural £££,0.20408163265306123
Paper and cardboard,Other Card,1,grey bin,recycling bin,urban £,0.016
Paper and cardboard,Other Card,1,grey bin,recycling bin,urban ££,0.0
Paper and cardboard,Other Card,1,grey bin,recycling bin,urban £££,0.01276595744680851
Paper and cardboard,Other Card,1,grey bin,recycling bin,rural £/££,0.0019230769230769232
Paper and cardboard,Other Card,1,grey bin,recycling bin,rural £££,0.00784313725490196
Paper and cardboard,Other Card,1,recycling bin,recycling bin,urban £,0.004
Paper and cardboard,Other Card,1,recycling bin,recycling bin,urban ££,0.0
Paper and cardboard,Other Card,1,recycling bin,recycling bin,urban £££,0.0
Paper and cardboard,Other Card,1,recycling bin,recycling bin,rural £/££,0.019230769230769232
Paper and cardboard,Other Card,1,recycling bin,recycling bin,rural £££,0.03725490196078431
Paper and cardboard,Other Card,2,grey bin,recycling bin,urban £,0.0020408163265306124
Paper and cardboard,Other Card,2,grey bin,recycling bin,urban ££,0.002631578947368421
Paper and cardboard,Other Card,2,grey bin,recycling bin,urban £££,0.0
Paper and cardboard,Other Card,2,grey bin,recycling bin,rural £/££,0.004081632653061225
Paper and cardboard,Other Card,2,grey bin,recycling bin,rural £££,0.0
Paper and cardboard,Other Card,2,recycling bin,recycling bin,urban £,0.07551020408163266
Paper and cardboard,Other Card,2,recycling bin,recycling bin,urban ££,0.002631578947368421
Paper and cardboard,Other Card,2,recycling bin,recycling bin,urban £££,0.002
Paper and cardboard,Other Card,2,recycling bin,recycling bin,rural £/££,0.01020408163265306
Paper and cardboard,Other Card,2,recycling bin,recycling bin,rural £££,0.0020408163265306124
Paper and cardboard,Books,1,grey bin,recycling bin,urban £,0.01
Paper and cardboard,Books,1,grey bin,recycling bin,urban ££,0.0
Paper and cardboard,Books,1,grey bin,recycling bin,urban £££,0.0
Paper and cardboard,Books,1,grey bin,recycling bin,rural £/££,0.0
Paper and cardboard,Books,1,grey bin,recycling bin,rural £££,0.0
Paper and cardboard,Books,1,recycling bin,recycling bin,urban £,0.078
Paper and cardboard,Books,1,recycling bin,recycling bin,urban ££,0.010810810810810811
Paper and cardboard,Books,1,recycling bin,recycling bin,urban £££,0.006382978723404255
Paper and cardboard,Books,1,recycling bin,recycling bin,rural £/££,0.06153846153846154
Paper and cardboard,Books,1,recycling bin,recycling bin,rural £££,0.03333333333333333
Paper and cardboard,Books,2,grey bin,recycling bin,urban £,0.06326530612244897
