region,year,material,management,tonnes
Aberdeenshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2854
North Ayrshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,744
Clackmannanshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Falkirk,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Fife,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,3504
Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,981
West Dunbartonshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Aberdeenshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Glasgow City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
South Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Moray,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Angus,2011,Batteries and accumulators wastes,Landfilled,0
East Ayrshire,2011,Batteries and accumulators wastes,Recycled,15
North Ayrshire,2011,Batteries and accumulators wastes,Other Diversion,0
North Lanarkshire,2011,Batteries and accumulators wastes,Other Diversion,0
West Dunbartonshire,2011,Batteries and accumulators wastes,Landfilled,0
Midlothian,2011,Batteries and accumulators wastes,Recycled,5
North Ayrshire,2011,Batteries and accumulators wastes,Landfilled,0
Inverclyde,2011,"Metallic wastes, non-ferrous",Landfilled,0
Outer Hebrides,2011,Batteries and accumulators wastes,Recycled,0
North Ayrshire,2011,Batteries and accumulators wastes,Recycled,1
Glasgow City,2011,Batteries and accumulators wastes,Other Diversion,0
Outer Hebrides,2011,"Metallic wastes, non-ferrous",Recycled,21
Orkney Islands,2011,Batteries and accumulators wastes,Recycled,2
Highland,2011,Batteries and accumulators wastes,Landfilled,0
North Lanarkshire,2011,Batteries and accumulators wastes,Landfilled,0
Outer Hebrides,2011,"Metallic wastes, non-ferrous",Landfilled,0
Midlothian,2011,Batteries and accumulators wastes,Landfilled,0
Clackmannanshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
West Lothian,2011,Batteries and accumulators wastes,Recycled,12
Glasgow City,2011,Batteries and accumulators wastes,Recycled,14
Dumfries and Galloway,2011,Batteries and accumulators wastes,Other Diversion,0
Inverclyde,2011,Batteries and accumulators wastes,Other Diversion,0
Renfrewshire,2011,Batteries and accumulators wastes,Landfilled,0
North Lanarkshire,2011,Batteries and accumulators wastes,Recycled,15
Scottish Borders,2011,Batteries and accumulators wastes,Landfilled,0
Angus,2011,Batteries and accumulators wastes,Recycled,23
Scottish Borders,2011,Batteries and accumulators wastes,Other Diversion,0
Perth and Kinross,2011,Batteries and accumulators wastes,Other Diversion,0
East Ayrshire,2011,Batteries and accumulators wastes,Other Diversion,0
