region,year,quarter,yyyy-MM-dd,material,tonnes-weight,tonnes-co2e
Stirling,2019,1,2019-03-31,Books,0.05459,0.053315514565
Stirling,2019,1,2019-03-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2016,3,2016-09-30,Paper & Cardboard,0.12074,0.11591039999999998
Stirling,2013,2,2013-06-30,Mixed Cans,0.0086,0.04127139999999999
Stirling,2015,2,2015-06-30,Aluminium,0.0087,0.08582549999999999
Stirling,2013,1,2013-03-31,plastic bottles (Average rigid plastics used - HDPE and PET),0.0228,0.07558200000000001
Stirling,2016,4,2016-12-31,Wood,0.00006,0.00002736
Stirling,2014,3,2014-09-30,Glass (Mixed - assumed go to aggregates),0.040646,0.036378170000000004
Stirling,2015,1,2015-03-31,plastic bottles (Average rigid plastics used - HDPE and PET),0.061943,0.205341045
Stirling,2014,2,2014-06-30,Paper & Cardboard,0.012930,0.020761629000000002
Stirling,2014,3,2014-09-30,Mixed Cans,0.004991,0.023951808999999997
Stirling,2016,2,2016-06-30,Books,0.055485,0.08428171499999999
Stirling,2019,3,2019-09-30,Glass (Mixed - assumed go to aggregates),0.18726,0.171602105292
Stirling,2013,1,2013-03-31,Paper & Cardboard,0.0077,0.0118195
Stirling,2013,1,2013-03-31,Large WEEE (excluding fluorescent tubes),0,0.0
Stirling,2018,1,2018-03-31,Plastics,0.026897999999999993,0.09075385199999998
Stirling,2015,2,2015-06-30,Glass (colour separated - assumed remelt),0.002171,0.001943045
Stirling,2017,3,2017-09-30,Wood,0.029470000000000006,0.013438320000000003
Stirling,2014,2,2014-06-30,Glass (Mixed - assumed go to aggregates),0.00027,0.00024165000000000003
Stirling,2018,4,2018-12-31,Small WEEE,0.030057999999999996,0.05352128081159999
Stirling,2016,1,2016-03-31,Books,0.034005,0.051653594999999996
Stirling,2015,3,2015-09-30,plastic bags (average plastic film used - LLDPE),0.027224,0.07146300000000001
Stirling,2018,2,2018-06-30,Wood,0.0031399999999999997,0.0014318399999999998
Stirling,2019,1,2019-03-31,Batteries,0,0.0
Stirling,2014,1,2014-03-31,Food & Drink,0,0.0
Stirling,2017,4,2017-12-31,Aggregates,0.006779999999999999,0.00007458
Stirling,2016,1,2016-03-31,Scrap Metal,0.016445,0.04838119
Stirling,2015,3,2015-09-30,Paper & Cardboard,0.194219,0.30340654199999998
Stirling,2018,1,2018-03-31,Books,0.173869,0.16691424
Stirling,2017,3,2017-09-30,WEEE (Fridges/Freezers),0.0134,0.05139436
Stirling,2016,2,2016-06-30,Food & Drink,0.00147,0.0066297
Stirling,2019,1,2019-03-31,Scrap Metal,0.008079999999999998,0.02451882464
Stirling,2017,2,2017-06-30,Mixed Cans,0,0.0
Stirling,2019,2,2019-06-30,Small WEEE,0.062889999999999986,0.11198194657799999
Stirling,2014,4,2014-12-31,plastic bags (average plastic film used - LLDPE),0.000359,0.0009423750000000001
Stirling,2016,2,2016-06-30,Small WEEE,0.02178,0.03870306
Stirling,2015,1,2015-03-31,Large WEEE (excluding fluorescent tubes),0,0.0
Stirling,2016,4,2016-12-31,Scrap Metal,0.0006,0.00228024
Stirling,2019,2,2019-06-30,Wood,0.010021999999999998,0.004381590338399999
Stirling,2017,1,2017-03-31,Glass (Mixed - assumed go to aggregates),0.0049,0.00448644
Stirling,2018,4,2018-12-31,Aluminium,0.022839999999999996,0.29451284671999997
Stirling,2016,2,2016-06-30,Aluminium,0.01346,0.18149464000000003
Stirling,2019,4,2019-12-31,Glass (Mixed - assumed go to aggregates),0.023280000000000005,0.021324480000000005
Stirling,2017,4,2017-12-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2018,4,2018-12-31,Food & Drink,0.007102,0.028984423887200002
Stirling,2018,4,2018-12-31,Wood,0.022823999999999998,0.0099785888928
Stirling,2017,1,2017-03-31,Aluminium,0.0274,0.3543642
Stirling,2015,1,2015-03-31,plastic bags (average plastic film used - LLDPE),0.001859,0.004879875
Stirling,2015,2,2015-06-30,Glass (Mixed - assumed go to aggregates),0.00055,0.0004922500000000001
Stirling,2015,3,2015-09-30,Glass (Mixed - assumed go to aggregates),0.091206,0.0815928876
Stirling,2014,4,2014-12-31,Aluminium,0.024789,0.244543485
Stirling,2019,4,2019-12-31,Aggregates,0.05345,0.000417567435
Stirling,2019,1,2019-03-31,Mixed Cans,0,0.0
Stirling,2015,4,2015-12-31,Wood,0.0025,0.0030675
Stirling,2014,1,2014-03-31,Wood,0,0.0
Stirling,2015,4,2015-12-31,Large WEEE (excluding fluorescent tubes),0,0.0
Stirling,2013,1,2013-03-31,Aggregates (rubble),0.0175,0.00014
Stirling,2016,3,2016-09-30,Batteries,0.000175,0.002130275
Stirling,2019,2,2019-06-30,Plastics,0.051650000000000006,0.16218216212500005
Stirling,2014,1,2014-03-31,Mixed Cans,0,0.0
Stirling,2018,4,2018-12-31,Scrap Metal,0.016226,0.0507778981624
Stirling,2019,2,2019-06-30,Aluminium,0.04904999999999999,0.6324805223999999
Stirling,2019,1,2019-03-31,Textiles & Footwear,0.21777499999999998,4.863133524999999
Stirling,2019,4,2019-12-31,Batteries,0,0.0
Stirling,2019,2,2019-06-30,Textiles & Footwear,0.4046400000000001,9.03601584
Stirling,2017,4,2017-12-31,Scrap Metal,0.003640,0.0112512730
Stirling,2014,3,2014-09-30,Glass (colour separated - assumed remelt),0.135767,0.121511465
Stirling,2018,2,2018-06-30,Aggregates,0.132784,0.001460624
Stirling,2017,3,2017-09-30,Aluminium,0.3215100000000001,4.158088830000002
Stirling,2018,3,2018-09-30,Textiles & Footwear,1.944311,43.418408940999994
