business-sector,year,material,tonnes
Mining and quarrying,2012,"Metallic wastes, non-ferrous",358
Other manufacturing,2012,"Metallic wastes, non-ferrous",8059
Commerce,2012,"Metallic wastes, non-ferrous",6886
Power industry,2012,"Metallic wastes, non-ferrous",1495
Manufacture of wood products,2012,"Metallic wastes, non-ferrous",187
Waste management,2012,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,"Metallic wastes, non-ferrous",307
Manufacture of food and beverage products,2012,"Metallic wastes, mixed ferrous and non-ferrous",24974
"Agriculture, forestry and fishing",2012,"Metallic wastes, mixed ferrous and non-ferrous",11161
Water industry,2012,"Metallic wastes, mixed ferrous and non-ferrous",7636
Mining and quarrying,2012,"Metallic wastes, mixed ferrous and non-ferrous",6475
Other manufacturing,2012,"Metallic wastes, mixed ferrous and non-ferrous",16579
Commerce,2012,"Metallic wastes, mixed ferrous and non-ferrous",107507
Power industry,2012,"Metallic wastes, mixed ferrous and non-ferrous",4430
Manufacture of wood products,2012,"Metallic wastes, mixed ferrous and non-ferrous",4294
Waste management,2012,"Metallic wastes, mixed ferrous and non-ferrous",1029
"Manufacture of chemicals, plastics and pharmaceuticals",2012,"Metallic wastes, mixed ferrous and non-ferrous",5642
Manufacture of food and beverage products,2012,Glass wastes,3176
"Agriculture, forestry and fishing",2012,Glass wastes,101
Water industry,2012,Glass wastes,101
Mining and quarrying,2012,Glass wastes,1018
Other manufacturing,2012,Glass wastes,12875
Commerce,2012,Glass wastes,55473
Power industry,2012,Glass wastes,221
Manufacture of wood products,2012,Glass wastes,3423
Waste management,2012,Glass wastes,8
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Glass wastes,826
Manufacture of food and beverage products,2012,Paper and cardboard wastes,3576
"Agriculture, forestry and fishing",2012,Paper and cardboard wastes,856
Water industry,2012,Paper and cardboard wastes,856
Mining and quarrying,2012,Paper and cardboard wastes,3374
Other manufacturing,2012,Paper and cardboard wastes,6152
Commerce,2012,Paper and cardboard wastes,49850
Power industry,2012,Paper and cardboard wastes,1106
Manufacture of wood products,2012,Paper and cardboard wastes,1045
Waste management,2012,Paper and cardboard wastes,845
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Paper and cardboard wastes,856
Manufacture of food and beverage products,2012,Rubber wastes,0
"Agriculture, forestry and fishing",2012,Rubber wastes,525
Water industry,2012,Rubber wastes,0
Mining and quarrying,2012,Rubber wastes,0
Other manufacturing,2012,Rubber wastes,0
Commerce,2012,Rubber wastes,28773
Power industry,2012,Rubber wastes,1
Manufacture of wood products,2012,Rubber wastes,0
Waste management,2012,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Rubber wastes,0
Manufacture of food and beverage products,2012,Plastic wastes,834
"Agriculture, forestry and fishing",2012,Plastic wastes,24186
Water industry,2012,Plastic wastes,307
Mining and quarrying,2012,Plastic wastes,1666
Other manufacturing,2012,Plastic wastes,667
Commerce,2012,Plastic wastes,6833
Power industry,2012,Plastic wastes,287
Manufacture of wood products,2012,Plastic wastes,341
Waste management,2012,Plastic wastes,236
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Plastic wastes,276
Manufacture of food and beverage products,2012,Wood wastes,5626
"Agriculture, forestry and fishing",2012,Wood wastes,263
Water industry,2012,Wood wastes,256
Mining and quarrying,2012,Wood wastes,6993
Other manufacturing,2012,Wood wastes,4862
Commerce,2012,Wood wastes,25654
Power industry,2012,Wood wastes,257
Manufacture of wood products,2012,Wood wastes,34710
Waste management,2012,Wood wastes,254
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Wood wastes,911
Manufacture of food and beverage products,2012,Textile wastes,72
"Agriculture, forestry and fishing",2012,Textile wastes,72
Water industry,2012,Textile wastes,72
Mining and quarrying,2012,Textile wastes,74
Other manufacturing,2012,Textile wastes,13975
Commerce,2012,Textile wastes,1131
Power industry,2012,Textile wastes,72
Manufacture of wood products,2012,Textile wastes,72
Waste management,2012,Textile wastes,7
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Textile wastes,72
Manufacture of food and beverage products,2012,Waste containing PCB,0
"Agriculture, forestry and fishing",2012,Waste containing PCB,6
Water industry,2012,Waste containing PCB,0
Mining and quarrying,2012,Waste containing PCB,52
Other manufacturing,2012,Waste containing PCB,5
Commerce,2012,Waste containing PCB,70
Power industry,2012,Waste containing PCB,15
Manufacture of wood products,2012,Waste containing PCB,0
Waste management,2012,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Waste containing PCB,2
Manufacture of food and beverage products,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",216
"Agriculture, forestry and fishing",2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",239
Water industry,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",2041
Mining and quarrying,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1113
Other manufacturing,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1194
Commerce,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",8713
Power industry,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",201
Manufacture of wood products,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",190
Waste management,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",190
"Manufacture of chemicals, plastics and pharmaceuticals",2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",209
Manufacture of food and beverage products,2012,Discarded vehicles,3322
"Agriculture, forestry and fishing",2012,Discarded vehicles,3988
Water industry,2012,Discarded vehicles,0
Mining and quarrying,2012,Discarded vehicles,0
