business-sector,year,material,tonnes
Waste management,2015,Household and similar wastes,1006
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Household and similar wastes,1006
Manufacture of food and beverage products,2015,Mixed and undifferentiated materials,13799
"Agriculture, forestry and fishing",2015,Mixed and undifferentiated materials,6308
Water industry,2015,Mixed and undifferentiated materials,15728
Mining and quarrying,2015,Mixed and undifferentiated materials,36874
Other manufacturing,2015,Mixed and undifferentiated materials,31355
Commerce,2015,Mixed and undifferentiated materials,47056
Power industry,2015,Mixed and undifferentiated materials,4087
Manufacture of wood products,2015,Mixed and undifferentiated materials,4075
Waste management,2015,Mixed and undifferentiated materials,4048
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Mixed and undifferentiated materials,8125
Manufacture of food and beverage products,2015,Sorting residues,0
"Agriculture, forestry and fishing",2015,Sorting residues,0
Water industry,2015,Sorting residues,0
Mining and quarrying,2015,Sorting residues,435
Other manufacturing,2015,Sorting residues,134
Commerce,2015,Sorting residues,5081
Power industry,2015,Sorting residues,0
Manufacture of wood products,2015,Sorting residues,0
Waste management,2015,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Sorting residues,0
Manufacture of food and beverage products,2015,Common sludges,4018
"Agriculture, forestry and fishing",2015,Common sludges,1910
Water industry,2015,Common sludges,117302
Mining and quarrying,2015,Common sludges,12
Other manufacturing,2015,Common sludges,2608
Commerce,2015,Common sludges,2769
Power industry,2015,Common sludges,0
Manufacture of wood products,2015,Common sludges,0
Waste management,2015,Common sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Common sludges,0
Manufacture of food and beverage products,2015,Mineral waste from construction and demolition,23
"Agriculture, forestry and fishing",2015,Mineral waste from construction and demolition,0
Water industry,2015,Mineral waste from construction and demolition,0
Mining and quarrying,2015,Mineral waste from construction and demolition,308
Other manufacturing,2015,Mineral waste from construction and demolition,148
Commerce,2015,Mineral waste from construction and demolition,9566
Power industry,2015,Mineral waste from construction and demolition,2
Manufacture of wood products,2015,Mineral waste from construction and demolition,0
Waste management,2015,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Mineral waste from construction and demolition,0
Manufacture of food and beverage products,2015,Other mineral wastes,1980
"Agriculture, forestry and fishing",2015,Other mineral wastes,1817
Water industry,2015,Other mineral wastes,3894
Mining and quarrying,2015,Other mineral wastes,97122
Other manufacturing,2015,Other mineral wastes,23396
Commerce,2015,Other mineral wastes,3356
Power industry,2015,Other mineral wastes,6
Manufacture of wood products,2015,Other mineral wastes,2
Waste management,2015,Other mineral wastes,2
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Other mineral wastes,12
Manufacture of food and beverage products,2015,Combustion wastes,0
"Agriculture, forestry and fishing",2015,Combustion wastes,0
Water industry,2015,Combustion wastes,0
Mining and quarrying,2015,Combustion wastes,0
Other manufacturing,2015,Combustion wastes,89
Commerce,2015,Combustion wastes,0
Power industry,2015,Combustion wastes,416199
Manufacture of wood products,2015,Combustion wastes,0
Waste management,2015,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Combustion wastes,0
Manufacture of food and beverage products,2015,Soils,3478
"Agriculture, forestry and fishing",2015,Soils,3524
Water industry,2015,Soils,3783
Mining and quarrying,2015,Soils,3508
Other manufacturing,2015,Soils,3478
Commerce,2015,Soils,81084
Power industry,2015,Soils,3478
Manufacture of wood products,2015,Soils,3478
Waste management,2015,Soils,3478
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Soils,3478
Manufacture of food and beverage products,2015,Dredging spoils,0
"Agriculture, forestry and fishing",2015,Dredging spoils,0
Water industry,2015,Dredging spoils,0
Mining and quarrying,2015,Dredging spoils,0
Other manufacturing,2015,Dredging spoils,0
Commerce,2015,Dredging spoils,50
Power industry,2015,Dredging spoils,0
Manufacture of wood products,2015,Dredging spoils,0
Waste management,2015,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Dredging spoils,0
Manufacture of food and beverage products,2015,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2015,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2015,Mineral wastes from waste treatment and stabilised wastes,0
Mining and quarrying,2015,Mineral wastes from waste treatment and stabilised wastes,65511
Other manufacturing,2015,Mineral wastes from waste treatment and stabilised wastes,0
Commerce,2015,Mineral wastes from waste treatment and stabilised wastes,5264
Power industry,2015,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of wood products,2015,Mineral wastes from waste treatment and stabilised wastes,0
Waste management,2015,Mineral wastes from waste treatment and stabilised wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2016,Spent solvents,10
Manufacture of wood products,2016,Spent solvents,10
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Spent solvents,49875
Commerce,2016,Spent solvents,108
Power industry,2016,Spent solvents,122
Waste management,2016,Spent solvents,10
Mining and quarrying,2016,Spent solvents,1875
Manufacture of food and beverage products,2016,Spent solvents,10
Other manufacturing,2016,Spent solvents,236
"Agriculture, forestry and fishing",2016,Spent solvents,10
Water industry,2016,"Acid, alkaline or saline wastes",12
Manufacture of wood products,2016,"Acid, alkaline or saline wastes",2
"Manufacture of chemicals, plastics and pharmaceuticals",2016,"Acid, alkaline or saline wastes",2170
Commerce,2016,"Acid, alkaline or saline wastes",25
Power industry,2016,"Acid, alkaline or saline wastes",12
Waste management,2016,"Acid, alkaline or saline wastes",2
Mining and quarrying,2016,"Acid, alkaline or saline wastes",237
Manufacture of food and beverage products,2016,"Acid, alkaline or saline wastes",2
Other manufacturing,2016,"Acid, alkaline or saline wastes",2927
"Agriculture, forestry and fishing",2016,"Acid, alkaline or saline wastes",3
Water industry,2016,Used oils,8
Manufacture of wood products,2016,Used oils,19
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Used oils,921
Commerce,2016,Used oils,18647
Power industry,2016,Used oils,338
Waste management,2016,Used oils,0
Mining and quarrying,2016,Used oils,8744
Manufacture of food and beverage products,2016,Used oils,30
Other manufacturing,2016,Used oils,6155
"Agriculture, forestry and fishing",2016,Used oils,2971
Water industry,2016,Chemical wastes,1709
Manufacture of wood products,2016,Chemical wastes,2042
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Chemical wastes,25160
Commerce,2016,Chemical wastes,18061
Power industry,2016,Chemical wastes,1792
Waste management,2016,Chemical wastes,686
Mining and quarrying,2016,Chemical wastes,16434
Manufacture of food and beverage products,2016,Chemical wastes,3042
Other manufacturing,2016,Chemical wastes,9259
"Agriculture, forestry and fishing",2016,Chemical wastes,34297
Water industry,2016,Industrial effluent sludges,20
Manufacture of wood products,2016,Industrial effluent sludges,1358
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Industrial effluent sludges,2863
Commerce,2016,Industrial effluent sludges,2391
Power industry,2016,Industrial effluent sludges,1799
Waste management,2016,Industrial effluent sludges,0
Mining and quarrying,2016,Industrial effluent sludges,54110
Manufacture of food and beverage products,2016,Industrial effluent sludges,3
Other manufacturing,2016,Industrial effluent sludges,5828
"Agriculture, forestry and fishing",2016,Industrial effluent sludges,217
Water industry,2016,Sludges and liquid wastes from waste treatment,1393
Manufacture of wood products,2016,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Sludges and liquid wastes from waste treatment,0
Commerce,2016,Sludges and liquid wastes from waste treatment,0
Power industry,2016,Sludges and liquid wastes from waste treatment,0
Waste management,2016,Sludges and liquid wastes from waste treatment,0
Mining and quarrying,2016,Sludges and liquid wastes from waste treatment,0
Manufacture of food and beverage products,2016,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2016,Sludges and liquid wastes from waste treatment,15
"Agriculture, forestry and fishing",2016,Sludges and liquid wastes from waste treatment,0
Water industry,2016,Health care and biological wastes,0
Manufacture of wood products,2016,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Health care and biological wastes,0
Commerce,2016,Health care and biological wastes,28930
Power industry,2016,Health care and biological wastes,0
Waste management,2016,Health care and biological wastes,0
Mining and quarrying,2016,Health care and biological wastes,9
Manufacture of food and beverage products,2016,Health care and biological wastes,0
Other manufacturing,2016,Health care and biological wastes,19
"Agriculture, forestry and fishing",2016,Health care and biological wastes,0
Water industry,2016,"Metallic wastes, ferrous",55
Manufacture of wood products,2016,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,"Metallic wastes, ferrous",0
Commerce,2016,"Metallic wastes, ferrous",132476
Power industry,2016,"Metallic wastes, ferrous",14
Waste management,2016,"Metallic wastes, ferrous",0
Mining and quarrying,2016,"Metallic wastes, ferrous",2368
Manufacture of food and beverage products,2016,"Metallic wastes, ferrous",0
Other manufacturing,2016,"Metallic wastes, ferrous",7984
"Agriculture, forestry and fishing",2016,"Metallic wastes, ferrous",7428
Water industry,2016,"Metallic wastes, non-ferrous",0
Manufacture of wood products,2016,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,"Metallic wastes, non-ferrous",88
Commerce,2016,"Metallic wastes, non-ferrous",17913
Power industry,2016,"Metallic wastes, non-ferrous",2
Waste management,2016,"Metallic wastes, non-ferrous",0
Mining and quarrying,2016,"Metallic wastes, non-ferrous",1067
Manufacture of food and beverage products,2016,"Metallic wastes, non-ferrous",0
Other manufacturing,2016,"Metallic wastes, non-ferrous",1484
"Agriculture, forestry and fishing",2016,"Metallic wastes, non-ferrous",1010
Water industry,2016,"Metallic wastes, mixed ferrous and non-ferrous",36
Manufacture of wood products,2016,"Metallic wastes, mixed ferrous and non-ferrous",36
"Manufacture of chemicals, plastics and pharmaceuticals",2016,"Metallic wastes, mixed ferrous and non-ferrous",2404
Commerce,2016,"Metallic wastes, mixed ferrous and non-ferrous",85433
Power industry,2016,"Metallic wastes, mixed ferrous and non-ferrous",36
Waste management,2016,"Metallic wastes, mixed ferrous and non-ferrous",39
Mining and quarrying,2016,"Metallic wastes, mixed ferrous and non-ferrous",15405
Manufacture of food and beverage products,2016,"Metallic wastes, mixed ferrous and non-ferrous",36
Other manufacturing,2016,"Metallic wastes, mixed ferrous and non-ferrous",4224
"Agriculture, forestry and fishing",2016,"Metallic wastes, mixed ferrous and non-ferrous",2698
Water industry,2016,Glass wastes,195
Manufacture of wood products,2016,Glass wastes,195
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Glass wastes,195
Commerce,2016,Glass wastes,47047
Power industry,2016,Glass wastes,195
Waste management,2016,Glass wastes,871
Mining and quarrying,2016,Glass wastes,290
Manufacture of food and beverage products,2016,Glass wastes,24785
Other manufacturing,2016,Glass wastes,195
"Agriculture, forestry and fishing",2016,Glass wastes,246
Water industry,2016,Paper and cardboard wastes,835
Manufacture of wood products,2016,Paper and cardboard wastes,835
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Paper and cardboard wastes,886
Commerce,2016,Paper and cardboard wastes,26037
Power industry,2016,Paper and cardboard wastes,835
Waste management,2016,Paper and cardboard wastes,1129
Mining and quarrying,2016,Paper and cardboard wastes,1168
Manufacture of food and beverage products,2016,Paper and cardboard wastes,2420
Other manufacturing,2016,Paper and cardboard wastes,1315
"Agriculture, forestry and fishing",2016,Paper and cardboard wastes,927
Water industry,2016,Rubber wastes,16
Manufacture of wood products,2016,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Rubber wastes,3
Commerce,2016,Rubber wastes,21520
Power industry,2016,Rubber wastes,0
Waste management,2016,Rubber wastes,0
Mining and quarrying,2016,Rubber wastes,3
Manufacture of food and beverage products,2016,Rubber wastes,0
Other manufacturing,2016,Rubber wastes,2
"Agriculture, forestry and fishing",2016,Rubber wastes,84
Water industry,2016,Plastic wastes,522
Manufacture of wood products,2016,Plastic wastes,531
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Plastic wastes,1751
Commerce,2016,Plastic wastes,8621
Power industry,2016,Plastic wastes,522
Waste management,2016,Plastic wastes,634
Mining and quarrying,2016,Plastic wastes,766
Manufacture of food and beverage products,2016,Plastic wastes,644
Other manufacturing,2016,Plastic wastes,524
"Agriculture, forestry and fishing",2016,Plastic wastes,22776
Water industry,2016,Wood wastes,10699
Manufacture of wood products,2016,Wood wastes,32377
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Wood wastes,772
Commerce,2016,Wood wastes,58749
Power industry,2016,Wood wastes,758
Waste management,2016,Wood wastes,1653
Mining and quarrying,2016,Wood wastes,1818
Manufacture of food and beverage products,2016,Wood wastes,851
Other manufacturing,2016,Wood wastes,7177
"Agriculture, forestry and fishing",2016,Wood wastes,1038
Water industry,2016,Textile wastes,5
Manufacture of wood products,2016,Textile wastes,5
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Textile wastes,5
Commerce,2016,Textile wastes,1133
Power industry,2016,Textile wastes,5
Waste management,2016,Textile wastes,5
Mining and quarrying,2016,Textile wastes,6
Manufacture of food and beverage products,2016,Textile wastes,5
Other manufacturing,2016,Textile wastes,6236
"Agriculture, forestry and fishing",2016,Textile wastes,5
Water industry,2016,Waste containing PCB,0
Manufacture of wood products,2016,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Waste containing PCB,2
Commerce,2016,Waste containing PCB,139
Power industry,2016,Waste containing PCB,0
Waste management,2016,Waste containing PCB,0
Mining and quarrying,2016,Waste containing PCB,4
Manufacture of food and beverage products,2016,Waste containing PCB,1
Other manufacturing,2016,Waste containing PCB,2
"Agriculture, forestry and fishing",2016,Waste containing PCB,1
Water industry,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",84
Manufacture of wood products,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",92
"Manufacture of chemicals, plastics and pharmaceuticals",2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",105
Commerce,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",15821
Power industry,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",85
Waste management,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",84
Mining and quarrying,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",502
Manufacture of food and beverage products,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",256
Other manufacturing,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",95
"Agriculture, forestry and fishing",2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",165
Water industry,2016,Discarded vehicles,0
Manufacture of wood products,2016,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Discarded vehicles,0
Commerce,2016,Discarded vehicles,49691
Power industry,2016,Discarded vehicles,6
Waste management,2016,Discarded vehicles,0
Mining and quarrying,2016,Discarded vehicles,0
Manufacture of food and beverage products,2016,Discarded vehicles,0
Other manufacturing,2016,Discarded vehicles,0
"Agriculture, forestry and fishing",2016,Discarded vehicles,3163
Water industry,2016,Batteries and accumulators wastes,13
Manufacture of wood products,2016,Batteries and accumulators wastes,19
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Batteries and accumulators wastes,55
Commerce,2016,Batteries and accumulators wastes,8114
Power industry,2016,Batteries and accumulators wastes,156
Waste management,2016,Batteries and accumulators wastes,10
Mining and quarrying,2016,Batteries and accumulators wastes,533
Manufacture of food and beverage products,2016,Batteries and accumulators wastes,10
Other manufacturing,2016,Batteries and accumulators wastes,541
"Agriculture, forestry and fishing",2016,Batteries and accumulators wastes,702
Water industry,2016,Animal and mixed food waste,765
Manufacture of wood products,2016,Animal and mixed food waste,118
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Animal and mixed food waste,118
Commerce,2016,Animal and mixed food waste,42331
Power industry,2016,Animal and mixed food waste,118
Waste management,2016,Animal and mixed food waste,118
Mining and quarrying,2016,Animal and mixed food waste,416
Manufacture of food and beverage products,2016,Animal and mixed food waste,154027
Other manufacturing,2016,Animal and mixed food waste,118
"Agriculture, forestry and fishing",2016,Animal and mixed food waste,11964
Water industry,2016,Vegetal wastes,1240
Manufacture of wood products,2016,Vegetal wastes,2000
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Vegetal wastes,1240
Commerce,2016,Vegetal wastes,114648
Power industry,2016,Vegetal wastes,1240
Waste management,2016,Vegetal wastes,1295
Mining and quarrying,2016,Vegetal wastes,1241
Manufacture of food and beverage products,2016,Vegetal wastes,485391
Other manufacturing,2016,Vegetal wastes,1490
"Agriculture, forestry and fishing",2016,Vegetal wastes,11116
Water industry,2016,"Animal faeces, urine and manure",15
Manufacture of wood products,2016,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,"Animal faeces, urine and manure",0
Commerce,2016,"Animal faeces, urine and manure",48
Power industry,2016,"Animal faeces, urine and manure",0
Waste management,2016,"Animal faeces, urine and manure",0
Mining and quarrying,2016,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2016,"Animal faeces, urine and manure",0
Other manufacturing,2016,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2016,"Animal faeces, urine and manure",81325
Water industry,2016,Household and similar wastes,902
Manufacture of wood products,2016,Household and similar wastes,388
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Household and similar wastes,399
Commerce,2016,Household and similar wastes,606782
Power industry,2016,Household and similar wastes,290
Waste management,2016,Household and similar wastes,435
Mining and quarrying,2016,Household and similar wastes,3097
Manufacture of food and beverage products,2016,Household and similar wastes,13840
Other manufacturing,2016,Household and similar wastes,3011
"Agriculture, forestry and fishing",2016,Household and similar wastes,1932
Water industry,2016,Mixed and undifferentiated materials,13415
Manufacture of wood products,2016,Mixed and undifferentiated materials,5675
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Mixed and undifferentiated materials,7641
Commerce,2016,Mixed and undifferentiated materials,147996
Power industry,2016,Mixed and undifferentiated materials,5541
Waste management,2016,Mixed and undifferentiated materials,9265
Mining and quarrying,2016,Mixed and undifferentiated materials,9263
Manufacture of food and beverage products,2016,Mixed and undifferentiated materials,8873
Other manufacturing,2016,Mixed and undifferentiated materials,23100
"Agriculture, forestry and fishing",2016,Mixed and undifferentiated materials,10696
Water industry,2016,Sorting residues,304
Manufacture of wood products,2016,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Sorting residues,0
Commerce,2016,Sorting residues,2
Power industry,2016,Sorting residues,2
Waste management,2016,Sorting residues,0
Mining and quarrying,2016,Sorting residues,0
Manufacture of food and beverage products,2016,Sorting residues,0
Other manufacturing,2016,Sorting residues,6038
"Agriculture, forestry and fishing",2016,Sorting residues,0
Water industry,2016,Common sludges,173646
Manufacture of wood products,2016,Common sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Common sludges,0
Commerce,2016,Common sludges,6
Power industry,2016,Common sludges,0
Waste management,2016,Common sludges,0
Mining and quarrying,2016,Common sludges,2
Manufacture of food and beverage products,2016,Common sludges,7708
Other manufacturing,2016,Common sludges,1818
"Agriculture, forestry and fishing",2016,Common sludges,1365
Water industry,2016,Mineral waste from construction and demolition,0
Manufacture of wood products,2016,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Mineral waste from construction and demolition,88
Commerce,2016,Mineral waste from construction and demolition,3095
Power industry,2016,Mineral waste from construction and demolition,0
Waste management,2016,Mineral waste from construction and demolition,0
Mining and quarrying,2016,Mineral waste from construction and demolition,126
Manufacture of food and beverage products,2016,Mineral waste from construction and demolition,3
Other manufacturing,2016,Mineral waste from construction and demolition,1826
"Agriculture, forestry and fishing",2016,Mineral waste from construction and demolition,0
Water industry,2016,Other mineral wastes,3657
Manufacture of wood products,2016,Other mineral wastes,5
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Other mineral wastes,532
Commerce,2016,Other mineral wastes,9911
Power industry,2016,Other mineral wastes,5
Waste management,2016,Other mineral wastes,5
Mining and quarrying,2016,Other mineral wastes,63512
Manufacture of food and beverage products,2016,Other mineral wastes,18
Other manufacturing,2016,Other mineral wastes,13954
"Agriculture, forestry and fishing",2016,Other mineral wastes,5
Water industry,2016,Combustion wastes,53
Manufacture of wood products,2016,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Combustion wastes,0
Commerce,2016,Combustion wastes,0
Power industry,2016,Combustion wastes,118824
Waste management,2016,Combustion wastes,0
Mining and quarrying,2016,Combustion wastes,0
Manufacture of food and beverage products,2016,Combustion wastes,0
Other manufacturing,2016,Combustion wastes,255
"Agriculture, forestry and fishing",2016,Combustion wastes,0
Water industry,2016,Soils,4345
Manufacture of wood products,2016,Soils,4345
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Soils,4345
Commerce,2016,Soils,69145
Power industry,2016,Soils,5296
Waste management,2016,Soils,4345
Mining and quarrying,2016,Soils,4351
Manufacture of food and beverage products,2016,Soils,4345
Other manufacturing,2016,Soils,4440
"Agriculture, forestry and fishing",2016,Soils,4369
Water industry,2016,Dredging spoils,0
Manufacture of wood products,2016,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Dredging spoils,0
Commerce,2016,Dredging spoils,3
Power industry,2016,Dredging spoils,0
Waste management,2016,Dredging spoils,0
Mining and quarrying,2016,Dredging spoils,12
Manufacture of food and beverage products,2016,Dredging spoils,0
Other manufacturing,2016,Dredging spoils,0
"Agriculture, forestry and fishing",2016,Dredging spoils,0
Water industry,2016,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of wood products,2016,Mineral wastes from waste treatment and stabilised wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2016,Mineral wastes from waste treatment and stabilised wastes,0
Commerce,2016,Mineral wastes from waste treatment and stabilised wastes,0
Power industry,2016,Mineral wastes from waste treatment and stabilised wastes,0
Waste management,2016,Mineral wastes from waste treatment and stabilised wastes,0
Mining and quarrying,2016,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of food and beverage products,2016,Mineral wastes from waste treatment and stabilised wastes,0
Other manufacturing,2016,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2016,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2017,Spent solvents,14
Manufacture of wood products,2017,Spent solvents,44
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Spent solvents,51742
Mining and quarrying,2017,Spent solvents,737
Commerce,2017,Spent solvents,190
Power industry,2017,Spent solvents,25
Other manufacturing,2017,Spent solvents,44
Waste management,2017,Spent solvents,14
Manufacture of food and beverage products,2017,Spent solvents,21
"Agriculture, forestry and fishing",2017,Spent solvents,14
Water industry,2017,"Acid, alkaline or saline wastes",10
Manufacture of wood products,2017,"Acid, alkaline or saline wastes",87
"Manufacture of chemicals, plastics and pharmaceuticals",2017,"Acid, alkaline or saline wastes",1527
Mining and quarrying,2017,"Acid, alkaline or saline wastes",148
Commerce,2017,"Acid, alkaline or saline wastes",32
Power industry,2017,"Acid, alkaline or saline wastes",53
Other manufacturing,2017,"Acid, alkaline or saline wastes",2823
Waste management,2017,"Acid, alkaline or saline wastes",2
Manufacture of food and beverage products,2017,"Acid, alkaline or saline wastes",2
"Agriculture, forestry and fishing",2017,"Acid, alkaline or saline wastes",3
Water industry,2017,Used oils,268
Manufacture of wood products,2017,Used oils,332
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Used oils,2122
Mining and quarrying,2017,Used oils,8578
Commerce,2017,Used oils,18995
Power industry,2017,Used oils,856
Other manufacturing,2017,Used oils,6979
Waste management,2017,Used oils,0
Manufacture of food and beverage products,2017,Used oils,290
"Agriculture, forestry and fishing",2017,Used oils,3480
Water industry,2017,Chemical wastes,1609
Manufacture of wood products,2017,Chemical wastes,2066
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Chemical wastes,26362
Mining and quarrying,2017,Chemical wastes,31432
Commerce,2017,Chemical wastes,58992
Power industry,2017,Chemical wastes,2603
Other manufacturing,2017,Chemical wastes,13107
Waste management,2017,Chemical wastes,774
Manufacture of food and beverage products,2017,Chemical wastes,3098
"Agriculture, forestry and fishing",2017,Chemical wastes,42213
Water industry,2017,Industrial effluent sludges,315
Manufacture of wood products,2017,Industrial effluent sludges,995
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Industrial effluent sludges,2792
Mining and quarrying,2017,Industrial effluent sludges,41670
Commerce,2017,Industrial effluent sludges,832
Power industry,2017,Industrial effluent sludges,846
Other manufacturing,2017,Industrial effluent sludges,8767
Waste management,2017,Industrial effluent sludges,0
Manufacture of food and beverage products,2017,Industrial effluent sludges,47
"Agriculture, forestry and fishing",2017,Industrial effluent sludges,122
Water industry,2017,Sludges and liquid wastes from waste treatment,1
Manufacture of wood products,2017,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Sludges and liquid wastes from waste treatment,5
Mining and quarrying,2017,Sludges and liquid wastes from waste treatment,0
Commerce,2017,Sludges and liquid wastes from waste treatment,25
Power industry,2017,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2017,Sludges and liquid wastes from waste treatment,7
Waste management,2017,Sludges and liquid wastes from waste treatment,0
Manufacture of food and beverage products,2017,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2017,Sludges and liquid wastes from waste treatment,0
Water industry,2017,Health care and biological wastes,0
Manufacture of wood products,2017,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Health care and biological wastes,0
Mining and quarrying,2017,Health care and biological wastes,7
Commerce,2017,Health care and biological wastes,29539
Power industry,2017,Health care and biological wastes,0
Other manufacturing,2017,Health care and biological wastes,2
Waste management,2017,Health care and biological wastes,0
Manufacture of food and beverage products,2017,Health care and biological wastes,0
"Agriculture, forestry and fishing",2017,Health care and biological wastes,0
Water industry,2017,"Metallic wastes, ferrous",168
Manufacture of wood products,2017,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,"Metallic wastes, ferrous",186
Mining and quarrying,2017,"Metallic wastes, ferrous",2855
Commerce,2017,"Metallic wastes, ferrous",85198
Power industry,2017,"Metallic wastes, ferrous",306
Other manufacturing,2017,"Metallic wastes, ferrous",14322
Waste management,2017,"Metallic wastes, ferrous",0
Manufacture of food and beverage products,2017,"Metallic wastes, ferrous",1554
"Agriculture, forestry and fishing",2017,"Metallic wastes, ferrous",4268
Water industry,2017,"Metallic wastes, non-ferrous",65
Manufacture of wood products,2017,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,"Metallic wastes, non-ferrous",184
Mining and quarrying,2017,"Metallic wastes, non-ferrous",897
Commerce,2017,"Metallic wastes, non-ferrous",13989
Power industry,2017,"Metallic wastes, non-ferrous",1
Other manufacturing,2017,"Metallic wastes, non-ferrous",2721
Waste management,2017,"Metallic wastes, non-ferrous",0
Manufacture of food and beverage products,2017,"Metallic wastes, non-ferrous",933
"Agriculture, forestry and fishing",2017,"Metallic wastes, non-ferrous",839
Water industry,2017,"Metallic wastes, mixed ferrous and non-ferrous",1715
Manufacture of wood products,2017,"Metallic wastes, mixed ferrous and non-ferrous",243
"Manufacture of chemicals, plastics and pharmaceuticals",2017,"Metallic wastes, mixed ferrous and non-ferrous",1769
Mining and quarrying,2017,"Metallic wastes, mixed ferrous and non-ferrous",19054
Commerce,2017,"Metallic wastes, mixed ferrous and non-ferrous",95097
Power industry,2017,"Metallic wastes, mixed ferrous and non-ferrous",6499
Other manufacturing,2017,"Metallic wastes, mixed ferrous and non-ferrous",54617
Waste management,2017,"Metallic wastes, mixed ferrous and non-ferrous",185
Manufacture of food and beverage products,2017,"Metallic wastes, mixed ferrous and non-ferrous",11671
